date,price,leverage,
2020-12-31,6367.1149,3288.1495 ,
2020-12-30,6269.2484,3283.2693 ,
2020-12-29,6199.8523,3275.2013 ,
2020-12-28,6244.4818,3286.8931 ,
2020-12-25,6278.4981,3266.3224 ,
2020-12-24,6205.2247,3256.3621 ,
2020-12-23,6307.604,3250.3735 ,
2020-12-22,6250.0606,3231.7558 ,
2020-12-21,6398.5987,3229.9829 ,
2020-12-18,6291.918,3217.7983 ,
2020-12-17,6308.9013,3215.3427 ,
2020-12-16,6235.4352,3211.1353 ,
2020-12-15,6265.5819,3214.5022 ,
2020-12-14,6259.0175,3214.5791 ,
2020-12-11,6209.427,3185.6401 ,
2020-12-10,6320.0956,3200.5677 ,
2020-12-09,6307.2207,3203.4862 ,
2020-12-08,6423.6513,3213.2782 ,
2020-12-07,6424.6823,3219.0419 ,
2020-12-04,6464.7345,3215.2193 ,
2020-12-03,6440.8808,3220.3324 ,
2020-12-02,6434.9791,3235.5526 ,
2020-12-01,6426.6155,3224.2088 ,
2020-11-30,6320.9441,3223.2208 ,
2020-11-27,6351.6119,3223.2586 ,
2020-11-26,6334.3042,3239.6508 ,
2020-11-25,6350.3667,3245.0476 ,
2020-11-24,6475.1881,3249.8786 ,
2020-11-23,6472.9301,3241.5554 ,
2020-11-20,6422.9854,3218.2973 ,
2020-11-19,6360.5998,3222.4042 ,
2020-11-18,6341.0136,3217.1190 ,
2020-11-17,6336.9406,3221.5352 ,
2020-11-16,6387.371,3223.6552 ,
2020-11-13,6306.97,3215.0413 ,
2020-11-12,6315.4938,3216.7823 ,
2020-11-11,6294.6055,3223.5091 ,
2020-11-10,6373.0853,3230.1915 ,
2020-11-09,6421.6506,3216.8460 ,
2020-11-06,6301.2477,3186.3026 ,
2020-11-05,6351.9789,3194.5021 ,
2020-11-04,6234.158,3183.7871 ,
2020-11-03,6241.7676,3181.2322 ,
2020-11-02,6143.1157,3173.6741 ,
2020-10-30,6111.4803,3175.6249 ,
2020-10-29,6255.1933,3195.1334 ,
2020-10-28,6245.9986,3202.6484 ,
2020-10-27,6221.3414,3194.5949 ,
2020-10-26,6214.3779,3199.7679 ,
2020-10-23,6213.2626,3206.5513 ,
2020-10-22,6317.1438,3231.0821 ,
2020-10-21,6350.0127,3231.4334 ,
2020-10-20,6423.1128,3233.7902 ,
2020-10-19,6358.3213,3230.8457 ,
2020-10-16,6428.6822,3227.8994 ,
2020-10-15,6460.0408,3233.7995 ,
2020-10-14,6508.3743,3232.7232 ,
2020-10-13,6551.3987,3208.6351 ,
2020-10-12,6541.176,3185.6369 ,
2020-10-09,6357.9711,3148.6184 ,
2020-09-30,6192.5045,3123.8802 ,
2020-09-29,6228.7708,3157.2468 ,
2020-09-28,6178.4693,3167.2372 ,
2020-09-25,6236.8904,3177.4839 ,
2020-09-24,6244.6389,3195.8227 ,
2020-09-23,6392.0329,3203.6373 ,
