date,total_balance,buy_balance,buy_new,buy_return,buy_net,sell_balance,price
2020/12/31,3288.15 ,3151.58 ,189.6719,192.2718,-2.6,136.5718,6367.1149
2020/12/30,3283.27 ,3154.18 ,159.5712,156.6644,2.9068,129.0916,6269.2484
2020/12/29,3275.20 ,3151.18 ,158.2598,173.2108,-14.951,124.0191,6199.8523
2020/12/28,3286.89 ,3166.13 ,175.772,163.8984,11.8736,120.7599,6244.4818
2020/12/25,3266.32 ,3154.26 ,173.9494,170.9436,3.0058,112.0628,6278.4981
2020/12/24,3256.36 ,3151.25 ,175.8717,174.439,1.4327,105.1084,6205.2247
2020/12/23,3250.37 ,3149.82 ,190.2808,179.4477,10.8331,100.5525,6307.604
2020/12/22,3231.76 ,3138.99 ,194.4231,198.9341,-4.511,92.7679,6250.0606
2020/12/21,3229.98 ,3143.50 ,183.1933,173.0358,10.1575,86.4839,6398.5987
2020/12/18,3217.80 ,3133.34 ,147.9214,152.8001,-4.8787,84.4569,6291.918
2020/12/17,3215.34 ,3138.22 ,149.0709,146.5597,2.5112,77.1226,6308.9013
2020/12/16,3211.14 ,3135.71 ,116.4067,119.0937,-2.687,75.4264,6235.4352
2020/12/15,3214.50 ,3138.40 ,121.5976,122.9105,-1.3129,76.1063,6265.5819
2020/12/14,3214.58 ,3139.75 ,125.2372,119.9864,5.2508,74.8257,6259.0175
2020/12/11,3185.64 ,3116.92 ,142.5373,155.2241,-12.6868,68.7175,6209.427
2020/12/10,3200.57 ,3129.61 ,128.0782,129.7507,-1.6725,70.9583,6320.0956
2020/12/9,3203.49 ,3131.28 ,145.4653,152.755,-7.2897,72.2043,6307.2207
2020/12/8,3213.28 ,3138.57 ,131.5971,133.9349,-2.3379,74.7066,6423.6513
2020/12/7,3219.04 ,3140.91 ,148.6382,139.1493,9.4889,78.1291,6424.6823
2020/12/4,3215.22 ,3131.42 ,153.7925,154.3022,-0.5097,83.7955,6464.7345
2020/12/3,3220.33 ,3131.93 ,176.5158,172.7215,3.7943,88.3989,6440.8808
2020/12/2,3235.55 ,3127.26 ,178.1585,157.0425,21.1159,108.2935,6434.9791
2020/12/1,3224.21 ,3106.14 ,165.4303,157.054,8.3763,118.0657,6426.6155
2020/11/30,3223.22 ,3097.77 ,170.9695,166.1267,4.8427,125.454,6320.9441
2020/11/27,3223.26 ,3092.92 ,125.7318,140.434,-14.7022,130.3345,6351.6119
2020/11/26,3239.65 ,3107.63 ,135.2238,138.78,-3.5562,132.0246,6334.3042
2020/11/25,3245.05 ,3111.23 ,181.2493,182.5467,-1.2974,133.8209,6350.3667
2020/11/24,3249.88 ,3112.52 ,183.0807,169.0518,14.0289,137.3546,6475.1881
2020/11/23,3241.56 ,3098.50 ,213.4385,190.8907,22.5478,143.0603,6472.9301
2020/11/20,3218.30 ,3075.62 ,141.5833,146.1718,-4.5886,142.6781,6422.9854
2020/11/19,3222.40 ,3080.21 ,136.8252,128.3019,8.5234,142.1965,6360.5998
2020/11/18,3217.12 ,3071.68 ,143.6889,141.4755,2.2134,145.4346,6341.0136
2020/11/17,3221.54 ,3069.47 ,152.8622,153.199,-0.3368,152.0642,6336.9406
2020/11/16,3223.66 ,3069.81 ,145.2774,138.1767,7.1007,153.8474,6387.371
2020/11/13,3215.04 ,3062.71 ,120.8239,121.4423,-0.6184,152.3342,6306.97
2020/11/12,3216.78 ,3063.29 ,114.2427,121.9362,-7.6935,153.4918,6315.4938
2020/11/11,3223.51 ,3070.97 ,147.7036,151.1565,-3.4528,152.5418,6294.6055
2020/11/10,3230.19 ,3074.42 ,173.5422,162.1899,11.3524,155.7714,6373.0853
2020/11/9,3216.85 ,3063.07 ,213.5564,184.0819,29.4745,153.7782,6421.6506
2020/11/6,3186.30 ,3033.59 ,143.6879,150.154,-6.4661,152.7094,6301.2477
2020/11/5,3194.50 ,3040.06 ,157.935,149.2999,8.6351,154.4427,6351.9789
2020/11/4,3183.79 ,3031.42 ,112.9261,110.7311,2.195,152.3629,6234.158
2020/11/3,3181.23 ,3029.23 ,121.021,117.2958,3.7252,152.003,6241.7676
2020/11/2,3173.67 ,3025.50 ,120.243,123.3545,-3.1115,148.17,6143.1157
2020/10/30,3175.62 ,3028.62 ,123.9459,142.176,-18.2301,147.0093,6111.4803
2020/10/29,3195.13 ,3046.85 ,110.0106,118.2638,-8.2532,148.2878,6255.1933
2020/10/28,3202.65 ,3055.10 ,109.304,105.5029,3.8011,147.5496,6245.9986
2020/10/27,3194.59 ,3051.30 ,81.1729,86.2964,-5.1236,143.2971,6221.3414
2020/10/26,3199.77 ,3056.42 ,86.3867,94.3027,-7.916,143.3465,6214.3779
2020/10/23,3206.55 ,3064.34 ,97.4751,118.9765,-21.5015,142.214,6213.2626
2020/10/22,3231.08 ,3085.84 ,96.5458,97.2008,-0.655,145.2433,6317.1438
2020/10/21,3231.43 ,3086.49 ,105.5709,107.0499,-1.479,144.9396,6350.0127
2020/10/20,3233.79 ,3087.97 ,99.1117,99.2395,-0.1277,145.8173,6423.1128
2020/10/19,3230.85 ,3088.10 ,124.5559,122.7936,1.7623,142.7452,6358.3213
2020/10/16,3227.90 ,3086.34 ,112.6242,119.8626,-7.2384,141.5612,6428.6822
2020/10/15,3233.80 ,3093.58 ,126.9578,124.2478,2.71,140.2229,6460.0408
2020/10/14,3232.72 ,3090.87 ,152.9434,131.5524,21.391,141.8566,6508.3743
2020/10/13,3208.64 ,3069.48 ,165.1102,145.5922,19.518,139.1595,6551.3987
2020/10/12,3185.64 ,3049.96 ,193.7444,160.9137,32.8307,135.6793,6541.176
2020/10/9,3148.62 ,3017.13 ,133.0253,109.5759,23.4493,131.4915,6357.9711
2020/9/30,3123.88 ,2992.97 ,81.1811,115.5576,-34.3765,130.9119,6192.5045
2020/9/29,3157.25 ,3027.34 ,85.8603,93.759,-7.8988,129.902,6228.7708
2020/9/28,3167.24 ,3035.24 ,81.0308,89.6334,-8.6026,131.9937,6178.4693
2020/9/25,3177.48 ,3044.07 ,88.3099,105.2178,-16.9078,133.4183,6236.8904
2020/9/24,3195.82 ,3060.97 ,111.5303,117.1122,-5.5818,134.8493,6244.6389
2020/9/23,3203.64 ,3066.56 ,110.3258,112.8649,-2.5391,137.0821,6392.0329
2020/9/22,3204.03 ,3069.09 ,126.8473,130.5531,-3.7057,134.934,6358.652
2020/9/21,3206.91 ,3072.84 ,140.0424,132.9998,7.0426,134.0702,6445.9649
2020/9/18,3197.63 ,3065.80 ,142.8492,147.1311,-4.2819,131.83,6469.4692
2020/9/17,3199.63 ,3070.08 ,128.4734,130.5737,-2.1004,129.5515,6367.0206
2020/9/16,3205.77 ,3072.18 ,110.3134,116.5294,-6.216,133.5917,6353.836
2020/9/15,3211.29 ,3078.40 ,122.6386,126.2117,-3.573,132.8938,6387.8805
2020/9/14,3211.98 ,3082.37 ,125.7545,115.3183,10.4362,129.6131,6351.2422
2020/9/11,,,,,,,6311.967
